Timestamp,Gender,Age,Education level,Field of occupation,Occupation level,Country of Residence,Which of the following mobile phone app uses AI in its operations,Can an AI tool determine if you have risk of Pneumonia by examining your chest x-rays?,"When you try to unlock your mobile phone using a pin, does an underline AI tool make that decision?",Think about the advertisements you see when you are on the internet. Are those selected by AI tools?,Assume that an AI system makes decisions for you in your day-to-day activities. How important is it to know the reasons behind such decisions?,Assume that an AI system makes decisions for you in your day-to-day activities. When do you need an explanation for such a decision?,A person is discharged from the hospital after a hospital stay of more than a week. An AI system predicts that he will be readmitted within the next 30 days.,An online clothing store recommends dresses to its customer with the help of an AI system. Suppose this system recommends the dress in Figure 1,A company decides the salary of its new recruits using an AI system. For one employee the AI systems decided to pay less than $50k per annum. ,An AI system developed to recognize different pets has recognized the animal in Figure 1 as a Cat.,"Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Financial impact]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Medical impact]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Legal impact]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Social posting  impact (fb/ig)]","Decisions made by different AI systems may have different impacts on you, e.g., financial impact or medical impact. AI systems with which impact needs the most explanations? Rank from the impact that needs the most explanation to the least. (1 - most, 5 - least). [Time Wasted]",Which kind of explanations about the AI system would you like to see? ,What kind of explanation is more useful for you?,"Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A surveillance system detecting suspicious person at public places.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A smartwatch detecting Atrial fibrillation (a common heart rhythm disorder that elevates stroke risk) in stroke survivors.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A remote monitoring systems in tunnels alerting maintenance requirements.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [An intelligent virtual assistant helping to operate home appliances.]","Consider the following scenarios where AI systems make decisions. Rank the scenarios from the one needing explanations most to the least.(1 - most, 5 - least) [A parking slot recommendation systems in the city area.]",I expect explanations to be,Are there any comments or concerns you would like to raise about XAI?
3/25/2022 10:52:25,Male,32,Completed Post Graduate Degree,Transportation and Material Moving,Management level,Sri Lanka,Email,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(b),(a),2,1,5,4,3,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,1,3,2,4,5,"Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/25/2022 23:55:59,Male,35,Completed Undergraduate Degree,Computer and Mathematical,Management level,Sri Lanka,Email,No,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(b),2,1,3,4,5,Explanation per decision if requested,An explanation explaining why AI made a certain decision,1,2,3,5,4,"Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
3/26/2022 0:41:06,Female,32,Completed Post Graduate Degree,Computer and Mathematical,Middle level,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(a),(a),2,1,3,4,5,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,3,2,1,4,5,"Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, I would like to have easy to understand explanations, but with some technical aspects as well.",
3/26/2022 8:47:39,Female,32,Completed Post Graduate Degree,"Education, Training, and Library",Middle level,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation when I do not get the decision I expected,(b),(a),(a),(a),4,5,3,1,2,Explanation per decision if requested,An explanation explaining why AI made a certain decision,4,5,3,1,2,"Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Interactive - Allow me to understand reasoning of the AI system in different granularities",
3/26/2022 13:06:06,Female,32,Completed Undergraduate Degree,Business and Financial Operations,Management level,Sri Lanka,Calculator,No,Yes,No,Important,I need an explanation for both decisions,(a),(b),(a),(b),1,2,4,3,5,An explanation for every decision made by the AI system - once per decision,An explanation explaining how you can change AI's decision in the future,1,2,3,4,5,Faithful - Reflect the actual reasoning of the AI system,No
3/26/2022 14:08:05,Male,62,Completed Post Graduate Degree,Healthcare Practitioners and Technical,Executive level,Sri Lanka,None of the above,Yes,No,No,Very important,I need an explanation for both decisions,(a),(b),(a),(a),2,1,3,4,5,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining how you can change AI's decision in the future,1,3,4,2,5,"Easy to understand - Expect no technical expertise from me, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
3/27/2022 8:58:30,Female,32,Completed Undergraduate Degree,Computer and Mathematical,Management level,Sri Lanka,All of the above,No,Yes,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(b),1,2,3,4,5,"An overall explanation of how the AI system works - once for the application, Explanation per decision if requested",An explanation explaining why AI made a certain decision,3,1,2,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Discriminative - State Specific reasons influence the different decisions of AI system",
3/27/2022 9:17:36,Female,33,Completed Post Graduate Degree,Architecture and Engineering,Unoccupied,Canada,None of the above,Yes,No,No,Important,I need an explanation for both decisions,(b),(a),(b),(a),1,2,3,4,5,An overall explanation of how the AI system works - once for the application,An explanation explaining why AI made a certain decision,1,3,2,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system",
3/27/2022 15:59:03,Female,32,Completed Post Graduate Degree,Construction and Extraction,Executive level,Sri Lanka,All of the above,Yes,Yes,Yes,Neutral,I need an explanation when I do not get the decision I expected,(b),(b),(b),(a),2,1,3,5,4,Explanation per decision if requested,An explanation explaining why AI made a certain decision,2,1,3,5,4,"Easy to understand - Expect no technical expertise from me, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity",No
3/27/2022 16:11:13,Female,33,Completed Post Graduate Degree,Computer and Mathematical,Executive level,Sri Lanka,None of the above,Yes,No,Yes,Important,I need an explanation for both decisions,(b),(b),(a),(a),2,1,3,5,4,Explanation per decision if requested,An explanation explaining why AI made a certain decision,2,1,3,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, Discriminative - State Specific reasons influence the different decisions of AI system, Interactive - Allow me to understand reasoning of the AI system in different granularities, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
3/27/2022 17:26:38,Female,32,Completed Undergraduate Degree,Computer and Mathematical,Middle level,Singapore,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(b),2,1,3,4,5,Explanation per decision if requested,An explanation explaining why AI made a certain decision,3,2,1,4,5,"Easy to understand - Expect no technical expertise from me, Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, I'd like to see other options that I have in some scenarios (maybe percentage wise), I would like to have easy to understand explanations, but with some technical aspects as well.",
3/27/2022 18:43:49,Female,26,Completed Undergraduate Degree,Computer and Mathematical,Entry level,Sri Lanka,Email,Yes,No,Yes,Important,I need an explanation when I do not get the decision I expected,(b),(b),(a),(a),2,1,3,5,4,Explanation per decision if requested,An explanation explaining how you can change AI's decision in the future,1,5,4,3,2,"Easy to understand - Expect no technical expertise from me, I'd like to see other options that I have in some scenarios (maybe percentage wise)",
3/28/2022 8:23:50,Male,33,Completed Undergraduate Degree,Computer and Mathematical,Management level,Sri Lanka,Email,Yes,No,Yes,Very important,I need an explanation for both decisions,(b),(b),(b),(a),2,1,3,5,4,An explanation for every decision made by the AI system - once per decision,An explanation explaining why AI made a certain decision,2,1,3,5,4,"Faithful - Reflect the actual reasoning of the AI system, Descriptive - State precisely what cause the AI system decision without leaving room for ambiguity, Consistent - Provide similar explanations for similar/neighboring examples, I would like to have easy to understand explanations, but with some technical aspects as well.",
3/28/2022 20:50:25,Female,47,Completed Post Graduate Degree,Computer and Mathematical,Middle level,Singapore,All of the above,Yes,No,Yes,Very important,I need an explanation for both decisions,(a),(b),(a),(a),2,1,3,4,5,An explanation for every decision made by the AI system - once per decision,An explanation explaining why AI made a certain decision,2,1,3,4,5,Interactive - Allow me to understand reasoning of the AI system in different granularities,
3/30/2022 10:13:08,Female,32,Completed Post Graduate Degree,"Education, Training, and Library",Middle level,Sri Lanka,Clock,Yes,No,Yes,Important,I need an explanation when I do not get the decision I expected,(b),(a),(a),(a),2,4,5,3,1,An explanation for every decision made by the AI system - once per decision,An explanation explaining why AI made a certain decision,2,4,3,5,1,"I would like to have easy to understand explanations, but with some technical aspects as well.",AI for students success rate in a particular program. 
